Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg_39 pair1	decontaminated hg_39 pair2	decontaminated hg_39 orphan1	decontaminated hg_39 orphan2	final pair1	final pair2	final orphan1	final orphan2
Lasse18	131026.0	131026.0	8202.0	8202.0	15139.0	3168.0	8017.0	8017.0	14889.0	3113.0	8017.0	8017.0	14889.0	3113.0
Lasse19	151522.0	151522.0	77018.0	77018.0	11573.0	3202.0	76867.0	76867.0	11447.0	3161.0	76867.0	76867.0	11447.0	3161.0
Lasse20	300551.0	300551.0	182086.0	182086.0	25954.0	5619.0	181967.0	181967.0	25806.0	5587.0	181967.0	181967.0	25806.0	5587.0
Lasse21	130419.0	130419.0	3431.0	3431.0	15794.0	3480.0	3295.0	3295.0	15588.0	3438.0	3295.0	3295.0	15588.0	3438.0
Lasse22	113271.0	113271.0	16841.0	16841.0	13055.0	2910.0	16733.0	16733.0	12880.0	2868.0	16733.0	16733.0	12880.0	2868.0
Lasse23	118492.0	118492.0	24560.0	24560.0	12725.0	2726.0	24418.0	24418.0	12494.0	2671.0	24418.0	24418.0	12494.0	2671.0
Lasse24	208893.0	208893.0	83429.0	83429.0	19691.0	4090.0	83124.0	83124.0	19363.0	4025.0	83124.0	83124.0	19363.0	4025.0
Lasse25	283165.0	283165.0	128517.0	128517.0	28855.0	6859.0	128075.0	128075.0	28471.0	6753.0	128075.0	128075.0	28471.0	6753.0
Lasse26	135595.0	135595.0	33788.0	33788.0	14410.0	3082.0	33555.0	33555.0	14164.0	3033.0	33555.0	33555.0	14164.0	3033.0
Lasse27	136586.0	136586.0	49051.0	49051.0	14623.0	2729.0	48918.0	48918.0	14479.0	2690.0	48918.0	48918.0	14479.0	2690.0
Lasse28	81013.0	81013.0	5377.0	5377.0	9495.0	1967.0	5245.0	5245.0	9322.0	1920.0	5245.0	5245.0	9322.0	1920.0
Lasse29	147108.0	147108.0	46831.0	46831.0	15066.0	4067.0	46610.0	46610.0	14784.0	4009.0	46610.0	46610.0	14784.0	4009.0
Lasse30	162351.0	162351.0	88397.0	88397.0	13328.0	3571.0	88204.0	88204.0	13150.0	3538.0	88204.0	88204.0	13150.0	3538.0
Lasse31	136105.0	136105.0	63443.0	63443.0	11506.0	2842.0	63230.0	63230.0	11354.0	2800.0	63230.0	63230.0	11354.0	2800.0
Lasse32	67262.0	67262.0	12664.0	12664.0	6502.0	1540.0	12189.0	12189.0	6277.0	1476.0	12189.0	12189.0	6277.0	1476.0
Lasse33	137887.0	137887.0	56753.0	56753.0	13002.0	3095.0	56542.0	56542.0	12816.0	3065.0	56542.0	56542.0	12816.0	3065.0
Lasse4	108087.0	108087.0	7472.0	7472.0	13001.0	2431.0	7366.0	7366.0	12829.0	2399.0	7366.0	7366.0	12829.0	2399.0
Lasse5	216769.0	216769.0	38058.0	38058.0	23960.0	5951.0	37755.0	37755.0	23624.0	5869.0	37755.0	37755.0	23624.0	5869.0
Lasse6	94457.0	94457.0	11037.0	11037.0	10707.0	2544.0	10886.0	10886.0	10521.0	2487.0	10886.0	10886.0	10521.0	2487.0
Lasse7	171693.0	171693.0	29470.0	29470.0	20191.0	4224.0	29350.0	29350.0	19867.0	4145.0	29350.0	29350.0	19867.0	4145.0
Lasse8	100142.0	100142.0	10267.0	10267.0	11799.0	2133.0	10178.0	10178.0	11669.0	2102.0	10178.0	10178.0	11669.0	2102.0
Lasse9	650973.0	650973.0	422035.0	422035.0	63118.0	18873.0	420844.0	420844.0	62642.0	18680.0	420844.0	420844.0	62642.0	18680.0
