Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS08125	7.96444372534359	1.38159693594783	0.456541046709536	3.02622720542987	0.00247626153035972	0.0299869740534807	81	0.0910326781157957	NZ_CP028101.1		3-hydroxybutyryl-CoA dehydrogenase	F. nucleatum	CRC vs Paired
C7Y58_RS04355	1.90082875024268	2.05439569821249	0.682417438136177	3.01046776269884	0.00260845635913817	0.030790541558899	42	0.0374457778225314	NZ_CP028101.1		heavy metal translocating P-type ATPase	F. nucleatum	CRC vs Paired
C7Y58_RS05960	2.98830426722412	2.72564039982954	0.913099639894302	2.98504158882929	0.00283539770740942	0.0331278609692223	33	0.0391262977103323	NZ_CP028101.1		alpha-2-macroglobulin family protein	F. nucleatum	CRC vs Paired
C7Y58_RS09345	2.10012437957199	2.65476357810073	0.891610763088291	2.9774916230322	0.00290617586227483	0.0336118319424715	30	0.0425822055441164	NZ_CP028101.1		OmpA family protein	F. nucleatum	CRC vs Paired
C7Y58_RS07295	1.66746807427216	2.42875914247202	0.817381287472693	2.97139068351031	0.00296454392031184	0.0339440278875705	32	0.0213317605112792	NZ_CP028101.1		glycogen synthase	F. nucleatum	CRC vs Paired
C7Y58_RS01180	4.09758022140568	2.24625609935838	0.75708847205723	2.96696645407194	0.00300753771257365	0.0340953532762062	48	0.0770735209832559	NZ_CP028101.1		V-type ATP synthase subunit A	F. nucleatum	CRC vs Paired
C7Y58_RS05510	1.68573720797997	2.68451391495692	0.906265353985249	2.9621720648946	0.00305477021430582	0.0342912930919624	28	0.031428432417825	NZ_CP028101.1		2-hydroxyacid dehydrogenase	F. nucleatum	CRC vs Paired
C7Y58_RS04705	3.3381323770899	2.23176573349871	0.75666970864691	2.9494582748523	0.00318331554477001	0.0353873427064239	44	0.067627372904246	NZ_CP028101.1	rplM	50S ribosomal protein L13	F. nucleatum	CRC vs Paired
C7Y58_RS09980	1.53442775943277	1.91466550654343	0.656253365980909	2.91757056922909	0.00352769813351271	0.0388385996430005	44	0.0370663055898022	NZ_CP028101.1	ffh	signal recognition particle protein	F. nucleatum	CRC vs Paired
C7Y58_RS06545	1.9365268726519	2.81673382241083	0.980233654153418	2.87353307089166	0.00405908578966966	0.0442633640873501	26	0.0293006773985932	NZ_CP028101.1	alaS	alanine--tRNA ligase	F. nucleatum	CRC vs Paired
