Geneid	rab.all	rab.win.CRC	rab.win.Healthy	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS06340	-0.0243954565757765	0.0745759400723003	-0.107690539459266	-0.147835309000358	4.55790667881807	-0.0277173719754467	0.485977564290277	0.760882660240228	0.992397325202452	0.711911480425902	0.988621724597718	11	0.00754728931704875	NZ_CP028101.1		FMN-binding protein	F. nucleatum	CRC vs Healthy
C7Y58_RS07670	-0.137464342877591	-0.0401543417055885	-0.229996447577945	-0.0400023835297949	4.33744991350718	-0.00649874434733992	0.496996395714956	0.754588321385937	0.992401501575156	0.772533104945281	0.99283038256071	11	0.00282653384226728	NZ_CP028101.1	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	F. nucleatum	CRC vs Healthy
I6J55_RS20655	1.13383222130324	1.08690817055108	1.16570509231538	0.127533171985144	4.18555526918879	0.0271821362118837	0.484775641229472	0.78746977255812	0.992426323829874	0.756375792961836	0.997638378783035	32	0.00918993463899465	NZ_CP069563.1	hisF	imidazole glycerol phosphate synthase subunit HisF	B. fragilis	CRC vs Healthy
I6J55_RS12380	2.15623913735871	1.86154112596906	2.38430665934832	0.377378119576347	3.84303281495896	0.0817955846222328	0.453525641652705	0.682629080200938	0.992443305948224	0.547550247790626	0.992972751178131	45	0.0204812714015597	NZ_CP069563.1	ftsZ	cell division protein FtsZ	B. fragilis	CRC vs Healthy
I6J55_RS08090	-0.379447888703266	-0.560322274597706	-0.214990120001318	0.240382402469165	4.39855103034054	0.048597813448997	0.476762820824316	0.61040249901835	0.992451801077877	0.603223760326461	0.985583026318668	10	0.000961909422761115	NZ_CP069563.1		RNA polymerase sigma-70 factor	B. fragilis	CRC vs Healthy
I6J55_RS09575	0.709612641071509	0.45029378778908	1.06796542405725	0.417906263180608	4.25564845645456	0.0882723470135235	0.4579326928744	0.619476376746409	0.992453625933147	0.526389617313983	0.981173143030218	28	0.00483914432681361	NZ_CP069563.1		TonB-dependent receptor	B. fragilis	CRC vs Healthy
I6J55_RS11790	0.397845142698906	0.257554518609914	0.563938197985171	0.159760892877484	4.40427316370405	0.0375562644802805	0.484981978574952	0.682522471915101	0.992456785786787	0.676080333195298	0.991104497658489	22	0.00334448506990788	NZ_CP069563.1		RagB/SusD family nutrient uptake outer membrane protein	B. fragilis	CRC vs Healthy
C7Y58_RS09950	-0.164039202792866	-0.180445717885297	-0.141547715634873	-0.114363183469367	4.16055569488534	-0.0222006118720384	0.485977564290277	0.734959525267091	0.992467585097605	0.748031598677046	0.986408259843703	11	0.00291532548129138	NZ_CP028101.1		MBL fold metallo-hydrolase	F. nucleatum	CRC vs Healthy
I6J55_RS07000	0.383972964613942	0.294521255507717	0.49029839923586	0.276842166034944	4.4021120153532	0.0541280945059508	0.471766119721776	0.644366391512254	0.992473258556169	0.630948625669521	0.987970359816037	21	0.00371445023250831	NZ_CP069563.1		L-lactate permease	B. fragilis	CRC vs Healthy
I6J55_RS00575	0.0606562785288309	-0.0104350155005264	0.106491578682553	-0.0512272711990605	4.11932978467688	-0.00752744060440105	0.494791666736342	0.72650622702129	0.992478175683269	0.776959704579931	0.987798664483646	16	0.00236777704064274	NZ_CP069563.1		cytochrome-c peroxidase	B. fragilis	CRC vs Healthy
