Geneid	rab.all	rab.win.CRC	rab.win.Paired	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS08380	0.184783738171516	-0.0745421700306732	0.497745256616605	0.519070628257024	4.17266631612918	0.0966169409067542	0.443732479736453	0.53715331119125	0.993451017276755	0.51213012554229	0.989754545453479	19	0.0044300892237286	NZ_CP069563.1	nfo	deoxyribonuclease IV	B. fragilis	CRC vs Paired
C7Y58_RS06270	-0.579363221877626	-0.85991834409143	-0.302969144511541	0.514505710796252	4.36890472803536	0.102449291481339	0.444533440878722	0.518710275503391	0.993467103908502	0.472642504356039	0.985935323024862	8	0.00088024574152262	NZ_CP028101.1		KilA-N domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS09135	-0.0717210998602855	0.100763375328768	-0.247124281575715	-0.385550494052193	4.21116972115077	-0.081593661102244	0.457348819156527	0.515147950060274	0.993474319190648	0.497343855872423	0.981744644734893	15	0.00598855709396537	NZ_CP028101.1		nitroreductase	F. nucleatum	CRC vs Paired
C7Y58_RS07905	0.0336353502850057	0.333072340396099	-0.302625486009205	-0.552303440933127	4.11653861424194	-0.115955492772718	0.436298077789219	0.451752324427315	0.993478622827056	0.40032941741068	0.964870629730442	15	0.00418477483674688	NZ_CP028101.1	cbiB	adenosylcobinamide-phosphate synthase CbiB	F. nucleatum	CRC vs Paired
C7Y58_RS04220	-0.483049167723229	-0.77990369294418	-0.155414626479634	0.561822499378435	4.19474579762797	0.116556120135666	0.438926712883097	0.50411631619223	0.993479527416383	0.440809597138045	0.986863804398919	10	0.00184707303139173	NZ_CP028101.1		DeoR/GlpR family DNA-binding transcription regulator	F. nucleatum	CRC vs Paired
I6J55_RS00710	-0.201881217786648	-0.357357622597307	-0.0542684966077323	0.433160430555236	4.28661679191973	0.0892249902168745	0.454326923692991	0.565220350638599	0.993484680169901	0.55603371579579	0.992726825857202	15	0.00137087451548605	NZ_CP069563.1	dapF	diaminopimelate epimerase	B. fragilis	CRC vs Paired
I6J55_RS19315	-0.337607742324665	-0.532713716692281	-0.108472263286042	0.411665816678705	4.41291531656787	0.0855907043500212	0.44813776601908	0.58917806997509	0.993486831235501	0.566652058771454	0.99226797507677	14	0.00105340883821559	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Paired
C7Y58_RS06465	0.15369109332108	0.474490489645319	-0.100313792582148	-0.672611150168229	4.63917725868958	-0.118083182294642	0.441105770029628	0.589556524373466	0.993489559584169	0.456151840721082	0.963100327032637	15	0.00878802715716845	NZ_CP028101.1		MarR family winged helix-turn-helix transcriptional regulator	F. nucleatum	CRC vs Paired
I6J55_RS14855	-0.44185489844654	-0.772641651792827	-0.131627007203071	0.56993807910818	4.57372416601264	0.108349318897861	0.44511218023032	0.449718990659107	0.993492369182587	0.463001755846522	0.99488065679005	8	0.00378072761112994	NZ_CP069563.1		response regulator transcription factor	B. fragilis	CRC vs Paired
C7Y58_RS05465	0.422097834056525	0.720417925062639	0.153802065150627	-0.741905499330122	4.59566367655811	-0.14981227909133	0.430288462489416	0.436236181212711	0.993492994071574	0.353301790797768	0.955918375321498	20	0.0107072514788489	NZ_CP028101.1		peptidoglycan DD-metalloendopeptidase family protein	F. nucleatum	CRC vs Paired
I6J55_RS19550	-0.440861011236327	-0.576050629842111	-0.282165684221022	0.34509018051223	4.31898972699019	0.0675893959375472	0.463356027725085	0.597556444738604	0.993512430615814	0.588165455526589	0.988199498245779	10	0.00108226935433109	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Paired
I6J55_RS09725	1.24218266306521	1.40802189457889	1.00067331400708	-0.496167149965542	3.79042230923468	-0.110250320708469	0.448538246590245	0.38398259434194	0.993513749465701	0.456219560046909	0.991547923988794	37	0.00756145522225988	NZ_CP069563.1	ubiE	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	B. fragilis	CRC vs Paired
I6J55_RS18160	1.0454967535135	0.481001710920352	1.53006814080282	0.66206102098606	4.76331357467513	0.114218634222383	0.432919504317075	0.38692351879697	0.993527832308592	0.361205276868307	0.995653764946072	34	0.00515160212661599	NZ_CP069563.1		dihydrofolate reductase family protein	B. fragilis	CRC vs Paired
C7Y58_RS05470	0.155292221249582	0.334698798116764	-0.0257216054231977	-0.384991644075062	4.1745388490174	-0.0833385084549202	0.45574689687166	0.552652041598205	0.993532708319032	0.563752176274896	0.988922270725729	19	0.00331895935328201	NZ_CP028101.1	ispG	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	F. nucleatum	CRC vs Paired
C7Y58_RS09970	-0.616402509115994	-0.772532854170835	-0.411515240628498	0.586470984758614	4.44409630764624	0.111663914169123	0.439327193454192	0.470848392741014	0.993533274263497	0.432905967076281	0.989094187767827	5	0.00108226935433109	NZ_CP028101.1		GNAT family N-acetyltransferase	F. nucleatum	CRC vs Paired
C7Y58_RS09505	0.327430398421779	0.803791049335727	-0.0388508004734867	-0.812163369622166	4.51538258651293	-0.154101024316397	0.419471154952001	0.456406253870538	0.993547178668025	0.3436494495294	0.956491633397099	17	0.00995687805984603	NZ_CP028101.1	map	type I methionyl aminopeptidase	F. nucleatum	CRC vs Paired
I6J55_RS12645	0.38106757693537	-0.0655287690756134	0.973763114984672	0.973947456723043	4.4496745188535	0.183985353593987	0.40488586435461	0.323384349412366	0.993561881432549	0.228074351916908	0.972943401465225	23	0.00288605161154957	NZ_CP069563.1		tetratricopeptide repeat protein	B. fragilis	CRC vs Paired
C7Y58_RS05525	0.00790594858453453	0.283579921843468	-0.224850780154308	-0.458296268832584	4.36428058025242	-0.0864455246258379	0.453525641652705	0.624860661104668	0.993568810472212	0.553529000521604	0.978583568807487	15	0.00601741761008086	NZ_CP028101.1		DUF368 domain-containing protein	F. nucleatum	CRC vs Paired
I6J55_RS11660	-0.33657865895803	-0.719838264229387	-0.0423450372385981	0.728572098257692	4.96545513648729	0.134943845840401	0.430917101461913	0.353943763692197	0.99357207792967	0.389476990057351	0.990801112706352	11	0.0010245483221001	NZ_CP069563.1		NVEALA domain-containing protein	B. fragilis	CRC vs Paired
I6J55_RS01110	1.05251408495495	1.35630761069554	0.777686265505121	-0.637991729131196	4.24883360222468	-0.127351417229254	0.431089744529341	0.391256262380633	0.993576941530444	0.35477727419643	0.9875819543877	32	0.0124677429618942	NZ_CP069563.1		Nramp family divalent metal transporter	B. fragilis	CRC vs Paired
C7Y58_RS06910	-0.502072669673526	-0.539328409830643	-0.436617073758669	0.231812006868165	4.33335404968117	0.0471070308296809	0.475160256743337	0.619899310458743	0.993578931792291	0.609685963280609	0.98857075939133	8	0.00103897858015785	NZ_CP028101.1		flavodoxin family protein	F. nucleatum	CRC vs Paired
I6J55_RS17130	-0.611197380074374	-0.92324357195805	-0.374315167900932	0.61356643660329	4.71348677310724	0.115925510990848	0.441105770029628	0.495580551947028	0.99357926526934	0.509242821408038	0.990094363564955	6	0.00155846787023677	NZ_CP069563.1		RagB/SusD family nutrient uptake outer membrane protein	B. fragilis	CRC vs Paired
I6J55_RS12405	4.74618613471592	4.78556318036152	4.69073616596774	-0.472229521079591	3.20204928900622	-0.120842109617729	0.433493590649209	0.13158146722193	0.993586604301918	0.310204761335829	1	64	0.106726188595103	NZ_CP069563.1	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	B. fragilis	CRC vs Paired
C7Y58_RS04215	-0.418582957540563	-0.857999158964158	0.0090877105862539	0.678322296310623	4.55371956651221	0.130091841601942	0.433720465459165	0.437141084566384	0.993594522205871	0.406244540860727	0.984355512740456	11	0.00318908703076228	NZ_CP028101.1		four-carbon acid sugar kinase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS08270	-0.425660318967731	-0.51048228081991	-0.322757815337896	0.350770667532035	4.43804303309272	0.0733735059712283	0.460152183155129	0.56832402446739	0.993599101010769	0.581989206954296	0.99049295887874	8	0.00173163096692974	NZ_CP028101.1		VanZ family protein	F. nucleatum	CRC vs Paired
