Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS03390	8.08601566239349	3.03034250940791	3.65820810618182	0.828367993687152	0.407462126828137	NA	6	0.00329593634833358	NZ_CP069563.1		alpha/beta hydrolase	B. fragilis	CRC vs Healthy
I6J55_RS03395	8.61980071782668	3.12900226553358	3.73589458429647	0.837551005503765	0.402282919376317	NA	6	0.00423035129244877	NZ_CP069563.1		quinone-dependent dihydroorotate dehydrogenase	B. fragilis	CRC vs Healthy
I6J55_RS03400	6.12611436551643	2.23699014966102	3.77685768166586	0.592288706169714	0.553657277327704	NA	6	0.00302410654640916	NZ_CP069563.1		HAD family hydrolase	B. fragilis	CRC vs Healthy
I6J55_RS03405	6.28311216496587	2.68614267214225	3.10394569632383	0.865396155391375	0.386821390449859	NA	7	0.00275227674448474	NZ_CP069563.1		MATE family efflux transporter	B. fragilis	CRC vs Healthy
I6J55_RS03410	7.85249878997746	-2.23848140416044	3.09978652681384	-0.722140503804726	0.470208098013227	NA	7	0.00217463841539535	NZ_CP069563.1		ABC transporter permease	B. fragilis	CRC vs Healthy
I6J55_RS03415	1.87383063009633	-4.0197655540092	2.74710394846095	-1.46327391661362	0.143392441968134	NA	5	0.00317701080999165	NZ_CP069563.1		ABC transporter permease	B. fragilis	CRC vs Healthy
I6J55_RS03420	7.88990584983059	-2.06768033332694	2.29962708383641	-0.899137233101937	0.368579568032528	NA	8	0.00220861714063591	NZ_CP069563.1		ABC transporter ATP-binding protein	B. fragilis	CRC vs Healthy
I6J55_RS03425	3.64790008111884	-0.804390255194915	4.28286828375052	-0.187815781831728	0.851021063813548	NA	4	0.00227657459111701	NZ_CP069563.1		ABC transporter permease	B. fragilis	CRC vs Healthy
I6J55_RS03435	1.17944791655776	-1.04210417426841	4.33715810037748	-0.240273504020458	0.810118234160541	NA	4	0.000373765977646076	NZ_CP069563.1		ABC transporter permease	B. fragilis	CRC vs Healthy
I6J55_RS03440	2.91201541856605	-3.3920668566606	2.86914623253516	-1.18225652572033	0.237103929982744	NA	6	0.000815489405773257	NZ_CP069563.1		metallophosphoesterase family protein	B. fragilis	CRC vs Healthy
I6J55_RS03445	0.867713618942652	-0.109998721366131	5.48540703436126	-0.0200529734032654	0.98400111438049	NA	2	0.000764521317912429	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS03450	8.01771079691151	-1.2622253078867	2.6336205762236	-0.479273787303343	0.631743867471245	NA	8	0.00338088316143496	NZ_CP069563.1		sigma-54-dependent transcriptional regulator	B. fragilis	CRC vs Healthy
I6J55_RS03455	1.39678080374492	0.499606901786986	3.56882075764838	0.139992153070807	0.888666190277668	NA	5	0.000747531955292152	NZ_CP069563.1		sensor histidine kinase	B. fragilis	CRC vs Healthy
I6J55_RS03460	1.36953326364434	0.521824000863997	3.60021714872585	0.144942368559262	0.88475637435024	NA	5	0.000730542592671876	NZ_CP069563.1		Crp/Fnr family transcriptional regulator	B. fragilis	CRC vs Healthy
I6J55_RS03465	7.40827599558985	1.82554112965413	3.26363559370702	0.559358138259724	0.575917324847725	NA	7	0.00161398944892624	NZ_CP069563.1	hcp	hydroxylamine reductase	B. fragilis	CRC vs Healthy
I6J55_RS03470	2.79344073586095	1.52865286078952	2.67777714922717	0.570866347571418	0.568090244175468	NA	7	0.00146108518534375	NZ_CP069563.1		uracil-xanthine permease family protein	B. fragilis	CRC vs Healthy
I6J55_RS03475	2.9543370650155	1.64848379446977	3.05036900506089	0.540421106998778	0.58890665490941	NA	6	0.00198775542657231	NZ_CP069563.1		potassium/proton antiporter	B. fragilis	CRC vs Healthy
I6J55_RS03485	1.27324178603873	0.420075184350851	5.48075744372845	0.0766454616289463	0.938905592147492	NA	3	0.000968393669355743	NZ_CP069563.1		DUF3037 domain-containing protein	B. fragilis	CRC vs Healthy
